146	sochiapa					96.940833	19.193333
147	soledad_atzompa					97.149167	18.755000
148	soledad_de_doblado					96.421111	19.046389
149	soteapan					94.872778	18.231389
150	tamalin					97.813333	21.338333
151	tamiahua					97.446944	21.279444
152	tampico_alto					97.801389	22.112778
153	tancoco					97.790556	21.286111
154	tantima					97.834167	21.331111
155	tantoyuca					98.23	21.351667
156	tatatila					97.110278	19.693333
157	castillo_de_teayo					97.638889	20.748333
158	tecolutla					97.014167	20.484167
159	tehuipango					97.056111	18.517778
160	temapache					97.6775	20.913611
161	tempoal					98.388056	21.522500
162	tenampa					96.884722	19.248333
163	tenochtitlan					96.916111	19.809167
164	teocelo					96.972778	19.387222
165	tepatlaxco					96.8425	19.066944
166	tepetlan					96.798889	19.671944
167	tepetzintla					97.851111	21.165833
168	tequila					97.070278	18.729444
169	jose_azueta					95.711111	18.075000
170	texcatepec					98.365278	20.584167
171	texhuacan					97.038889	18.621944
172	texistepec					94.811389	17.896944
173	tezonapa					96.6875	18.605833
174	tierra_blanca					96.357222	18.448889
175	tihuatlan					97.536944	20.716944
176	tlacojalpan					95.9475	18.231111
177	tlacolulan					97.000556	19.664444
178	tlacotalpan					95.656389	18.613056
179	tlacotepec_de_mejia					96.835	19.191667
180	tlachichilco					98.199167	20.619722
181	tlalixcoyan					96.060556	18.802222
182	tlalnelhuayocan					96.973889	19.564444
183	tlapacoyan					97.213056	19.963056
184	tlaquilpa					97.118889	18.612222
185	tlilapan					97.099444	18.806111
186	tomatlan					97.008611	19.030833
187	tonayan					96.921667	19.681111
188	totutla					96.963333	19.210278
189	tuxpam					97.380833	20.958611
190	tuxtilla					95.894167	18.237778
191	ursulo_galvan					96.363056	19.406944
192	vega_de_alatorre					96.649722	20.028056
193	veracruz					96.153333	19.190278
194	villa_aldama					97.223333	19.648611
195	xoxocotla					97.150278	18.646667
196	yanga					96.8	18.831389
197	yecuatla					96.776667	19.865833
198	zacualpan					98.348611	20.433611
199	zaragoza					94.641389	17.953056
200	zentla					96.858889	19.114722
201	zongolica					97.001111	18.664167
202	zontecomatlan_de_lopez_y_fuentes					98.343889	20.761389
203	zozocolco_de_hidalgo					97.576667	20.140556
204	agua_dulce					94.143611	18.138056
205	el_higo					98.452222	21.767778
206	nanchital_de_lazaro_cardenas_del_rio					94.409444	18.064722
207	tres_valles					96.136111	18.239444
208	carlos_a_carrillo					95.744722	18.370833
209	tatahuicapan_de_juarez					94.760556	18.245556
210	uxpanapa					94.451944	17.277222
211	san_rafael					96.870833	20.188056
212	santiago_sochiapan					95.735278	17.663333
